Población a 1 de enero. Por sexo y edad en grandes grupos
Municipios. 2000
Fuente: Idescat, a partir del Padrón continuo del INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1181&by=mun&t=200000&lang=es
Código;Literal;Hombres. De 0 a 14 años;Hombres. De 15 a 64 años;Hombres. 65 años o más;Mujeres. De 0 a 14 años;Mujeres. De 15 a 64 años;Mujeres. 65 años o más;Total. De 0 a 14 años;Total. De 15 a 64 años;Total. 65 años o más
080608;Castellfollit de Riubregós;14;74;29;14;68;34;28;142;63
080594;Castellfollit del Boix;29;108;49;38;111;49;67;219;98
080615;Castellgalí;64;328;85;58;287;106;122;615;191
080620;Castellnou de Bages;41;215;20;32;194;24;73;409;44
250680;Castellnou de Seana;37;241;84;30;210;99;67;451;183
170470;Castelló d'Empúries;523;2175;504;495;2064;505;1018;4239;1009
250693;Castelló de Farfanya;35;182;81;34;161;94;69;343;175
080636;Castellolí;31;146;42;31;127;50;62;273;92
170486;Castell-Platja d'Aro;507;2530;345;487;2390;429;994;4920;774
250707;Castellserà;55;350;136;64;346;156;119;696;292
080641;Castellterçol;129;661;193;128;627;262;257;1288;455
430424;Castellvell del Camp;75;383;85;65;366;88;140;749;173
080654;Castellví de la Marca;88;498;144;99;449;167;187;947;311
080667;Castellví de Rosanes;85;417;61;77;384;72;162;801;133
430430;Catllar, el;190;887;166;168;813;139;358;1700;305
250714;Cava;3;20;11;3;14;6;6;34;17
171899;Cellera de Ter, la;148;687;167;124;662;231;272;1349;398
170499;Celrà;225;881;187;222;878;242;447;1759;429
080673;Centelles;402;1987;462;375;1902;665;777;3889;1127
082687;Cercs;87;472;168;81;437;209;168;909;377
082665;Cerdanyola del Vallès;4121;19998;2284;3690;19555;3130;7811;39553;5414
080689;Cervelló;489;2287;257;460;2194;377;949;4481;634
250729;Cervera;566;2477;616;576;2381;821;1142;4858;1437
250735;Cervià de les Garrigues;33;265;140;41;229;137;74;494;277
170502;Cervià de Ter;32;194;80;35;172;94;67;366;174
170519;Cistella;11;75;29;15;73;28;26;148;57
250740;Ciutadilla;8;67;33;8;62;35;16;129;68
250753;Clariana de Cardener;13;53;9;8;45;17;21;98;26
250766;Cogul, el;7;71;43;11;61;39;18;132;82
170545;Colera;34;199;77;24;181;77;58;380;154
250772;Coll de Nargó;34;202;87;37;159;87;71;361;174
080692;Collbató;175;829;120;137;698;140;312;1527;260
430458;Colldejou;13;76;19;11;59;20;24;135;39
080706;Collsuspina;18;105;14;12;85;20;30;190;34
170558;Colomers;7;66;27;5;52;39;12;118;66
251636;Coma i la Pedra, la;15;105;27;6;57;30;21;162;57
251615;Conca de Dalt;18;125;75;18;112;71;36;237;146
430461;Conesa;6;40;17;2;30;21;8;70;38
430477;Constantí;344;1908;347;381;1652;389;725;3560;736
080713;Copons;6;85;37;12;79;52;18;164;89
430483;Corbera d'Ebre;73;334;136;58;299;156;131;633;292
080728;Corbera de Llobregat;850;3402;384;787;3180;487;1637;6582;871
250788;Corbins;73;343;121;53;335;130;126;678;251
170577;Corçà;58;418;98;77;392;110;135;810;208
080734;Cornellà de Llobregat;5202;29199;5315;4849;28958;7475;10051;58157;12790
170561;Cornellà del Terri;143;645;175;135;612;211;278;1257;386
430496;Cornudella de Montsant;42;270;115;37;232;144;79;502;259
430509;Creixell;115;640;167;126;609;180;241;1249;347
170583;Crespià;8;63;31;11;58;34;19;121;65
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;70;376;97;85;358;110;155;734;207
080749;Cubelles;495;2379;447;414;2230;532;909;4609;979
250791;Cubells;20;113;61;21;105;62;41;218;123
430516;Cunit;402;2238;419;377;2061;446;779;4299;865
170600;Darnius;23;181;71;20;146;76;43;327;147
170617;Das;10;58;17;11;48;14;21;106;31
439018;Deltebre;712;3499;921;642;3396;1080;1354;6895;2001
080752;Dosrius;216;1106;131;216;1040;137;432;2146;268
430537;Duesaigües;10;77;33;5;49;25;15;126;58
170622;Escala, l';420;2252;483;407;2171;552;827;4423;1035
080765;Esparreguera;1473;6241;929;1294;5907;1216;2767;12148;2145
170638;Espinelves;10;53;27;7;50;32;17;103;59
250812;Espluga Calba, l';21;142;59;22;116;64;43;258;123
430542;Espluga de Francolí, l';283;1160;359;235;1112;505;518;2272;864
080771;Esplugues de Llobregat;3024;16825;2625;2802;16904;3488;5826;33729;6113
170643;Espolla;21;115;51;27;104;55;48;219;106
170656;Esponellà;24;130;46;22;129;51;46;259;97
250827;Espot;12;118;32;9;95;32;21;213;64
080787;Espunyola, l';12;89;37;23;82;33;35;171;70
082541;Esquirol, l';134;738;170;137;666;243;271;1404;413
250886;Estamariu;2;46;18;2;33;22;4;79;40
080790;Estany, l';17;130;42;18;133;58;35;263;100
250851;Estaràs;12;69;22;13;43;28;25;112;50
250864;Esterri d'Àneu;22;215;82;28;212;87;50;427;169
250870;Esterri de Cardós;3;24;13;3;22;10;6;46;23
430555;Falset;170;830;234;166;724;324;336;1554;558
170059;Far d'Empordà, el;29;137;36;22;128;35;51;265;71
250899;Farrera;6;38;13;8;24;8;14;62;21
430568;Fatarella, la;55;393;172;64;356;204;119;749;376
430574;Febró, la;3;30;6;2;14;8;5;44;14
081347;Figaró-Montmany;58;304;74;68;245;76;126;549;150
080804;Fígols;1;18;10;0;14;7;1;32;17
259084;Fígols i Alinyà;6;94;62;12;68;54;18;162;116
430580;Figuera, la;4;38;19;10;33;17;14;71;36
170669;Figueres;2826;11291;2412;2651;11383;3460;5477;22674;5872
430593;Figuerola del Camp;16;87;31;23;87;36;39;174;67
170675;Flaçà;43;282;92;51;267;110;94;549;202
430607;Flix;276;1411;412;259;1343;507;535;2754;919
250925;Floresta, la;12;52;32;10;37;34;22;89;66
080826;Fogars de la Selva;52;245;62;51;224;58;103;469;120
080811;Fogars de Montclús;21;132;29;18;116;34;39;248;63
170681;Foixà;18;98;39;21;96;50;39;194;89
080832;Folgueroles;131;550;116;121;535;145;252;1085;261
250931;Fondarella;53;230;60;42;236;59;95;466;119
080847;Fonollosa;68;329;79;70;305;90;138;634;169
170694;Fontanals de Cerdanya;25;142;30;26;133;43;51;275;73
170708;Fontanilles;3;64;16;5;50;15;8;114;31
170715;Fontcoberta;76;401;76;90;377;90;166;778;166
080850;Font-rubí;80;385;157;72;343;163;152;728;320
250946;Foradada;19;74;32;6;61;23;25;135;55
179026;Forallac;97;580;132;105;565;171;202;1145;303
430614;Forès;0;24;9;0;21;14;0;45;23
170736;Fornells de la Selva;122;512;89;114;529;123;236;1041;212
170741;Fortià;20;183;56;37;155;74;57;338;130
080863;Franqueses del Vallès, les;969;4545;625;994;4319;848;1963;8864;1473
430629;Freginals;18;108;54;22;99;61;40;207;115
250962;Fuliola, la;74;398;158;81;360;180;155;758;338
250978;Fulleda;7;37;17;4;33;18;11;70;35
080902;Gaià;16;55;17;12;54;14;28;109;31
430635;Galera, la;39;218;110;32;210;137;71;428;247
080879;Gallifa;15;60;7;15;48;11;30;108;18
430640;Gandesa;173;845;266;149;770;361;322;1615;627
430653;Garcia;19;160;83;19;144;87;38;304;170
430666;Garidells, els;7;53;20;15;47;20;22;100;40
080885;Garriga, la;927;3948;718;936;3950;1068;1863;7898;1786
170754;Garrigàs;18;125;39;22;85;50;40;210;89
170767;Garrigoles;12;55;14;6;39;24;18;94;38
170773;Garriguella;43;244;82;41;231;85;84;475;167
080898;Gavà;2978;14358;2188;2805;14069;2822;5783;28427;5010
250984;Gavet de la Conca;15;83;61;14;87;62;29;170;123
080919;Gelida;289;1578;307;312;1442;426;601;3020;733
170789;Ger;21;139;40;22;118;35;43;257;75
259123;Gimenells i el Pla de la Font;62;396;129;64;349;124;126;745;253
430672;Ginestar;44;253;126;37;238;139;81;491;265
170792;Girona;5964;24875;4576;5796;25628;6798;11760;50503;11374
080924;Gironella;263;1559;527;251;1495;772;514;3054;1299
080930;Gisclareny;0;11;3;1;7;4;1;18;7
430688;Godall;34;210;122;30;195;130;64;405;252
250997;Golmés;78;432;134;97;439;156;175;871;290
170806;Gombrèn;9;78;26;5;83;34;14;161;60
251001;Gósol;15;86;24;4;64;32;19;150;56
080945;Granada, la;96;436;113;103;435;146;199;871;259
251018;Granadella, la;38;258;124;48;199;143;86;457;267
080958;Granera;0;32;8;0;11;8;0;43;16
251023;Granja d'Escarp, la;68;413;105;64;315;135;132;728;240
080961;Granollers;3948;18550;3066;3851;18698;4310;7799;37248;7376
251039;Granyanella;4;56;17;7;41;25;11;97;42
251057;Granyena de les Garrigues;3;58;25;5;46;33;8;104;58
251044;Granyena de Segarra;2;50;30;4;41;31;6;91;61
430691;Gratallops;16;85;22;9;69;31;25;154;53
080977;Gualba;55;293;61;43;259;72;98;552;133
170813;Gualta;25;101;24;21;85;37;46;186;61
080996;Guardiola de Berguedà;67;311;130;63;296;146;130;607;276
430705;Guiamets, els;17;95;40;21;83;48;38;178;88
170828;Guils de Cerdanya;18;118;28;26;119;25;44;237;53
251095;Guimerà;10;121;71;13;100;84;23;221;155
259031;Guingueta d'Àneu, la;23;98;40;17;88;47;40;186;87
251109;Guissona;302;1175;223;279;1070;290;581;2245;513
251116;Guixers;4;63;24;5;37;18;9;100;42
081000;Gurb;167;673;127;143;638;150;310;1311;277
430712;Horta de Sant Joan;85;401;167;50;343;187;135;744;354
081017;Hospitalet de Llobregat, l';14022;86961;17157;13143;86542;23957;27165;173503;41114
081629;Hostalets de Pierola, els;71;459;112;57;401;139;128;860;251
170834;Hostalric;208;1033;179;200;1010;271;408;2043;450
081022;Igualada;2334;10945;2536;2135;11021;3545;4469;21966;6081
251155;Isona i Conca Dellà;63;396;191;43;323;206;106;719;397
170849;Isòvol;12;81;20;9;53;29;21;134;49
251137;Ivars d'Urgell;104;593;210;102;496;259;206;1089;469
251121;Ivars de Noguera;14;117;40;17;101;49;31;218;89
251142;Ivorra;6;49;17;8;46;27;14;95;44
170852;Jafre;12;103;48;13;82;59;25;185;107
170865;Jonquera, la;195;944;149;204;864;209;399;1808;358
081038;Jorba;45;176;52;53;171;75;98;347;127
259101;Josa i Tuixén;7;55;28;7;50;22;14;105;50
170871;Juià;9;86;28;19;88;36;28;174;64
251180;Juncosa;41;238;81;33;149;87;74;387;168
251193;Juneda;196;974;333;188;907;390;384;1881;723
251214;Les;55;250;46;51;218;77;106;468;123
251229;Linyola;137;799;256;174;749;286;311;1548;542
081043;Llacuna, la;59;291;91;50;245;113;109;536;204
170887;Lladó;34;161;62;19;149;77;53;310;139
251235;Lladorre;14;72;33;8;83;24;22;155;57
251240;Lladurs;16;86;26;12;75;29;28;161;55
081056;Llagosta, la;833;4517;618;780;4374;811;1613;8891;1429
170890;Llagostera;411;2027;489;411;1821;610;822;3848;1099
170904;Llambilles;28;165;49;27;156;47;55;321;96
170911;Llanars;27;170;52;22;161;57;49;331;109
170926;Llançà;245;1382;380;266;1310;480;511;2692;860
251253;Llardecans;36;197;89;30;175;98;66;372;187
251266;Llavorsí;13;84;44;24;90;30;37;174;74
251207;Lleida;8201;38287;8049;7684;38857;11116;15885;77144;19165
170932;Llers;55;355;74;53;314;103;108;669;177
251272;Lles de Cerdanya;22;105;34;10;81;36;32;186;70
081075;Lliçà d'Amunt;810;3681;463;757;3378;506;1567;7059;969
081081;Lliçà de Vall;401;1982;227;398;1801;261;799;3783;488
251288;Llimiana;6;53;22;4;40;22;10;93;44
081069;Llinars del Vallès;564;2516;389;511;2375;522;1075;4891;911
170947;Llívia;75;375;85;45;349;84;120;724;169
430727;Lloar, el;2;36;23;1;34;27;3;70;50
251291;Llobera;16;73;33;6;69;40;22;142;73
430733;Llorac;6;38;14;6;35;21;12;73;35
430748;Llorenç del Penedès;113;507;135;141;513;166;254;1020;301
170950;Lloret de Mar;1762;7330;989;1649;7067;1248;3411;14397;2237
170963;Llosses, les;15;99;33;14;88;26;29;187;59
081094;Lluçà;29;101;28;18;84;28;47;185;56
171024;Maçanet de Cabrenys;32;224;86;23;182;117;55;406;203
171030;Maçanet de la Selva;293;1394;266;294;1264;303;587;2658;569
170979;Madremanya;5;60;18;13;66;23;18;126;41
170985;Maià de Montcal;16;111;33;17;102;42;33;213;75
251333;Maials;46;308;139;49;265;178;95;573;317
251305;Maldà;17;87;49;14;78;47;31;165;96
081108;Malgrat de Mar;1000;4843;984;876;4631;1352;1876;9474;2336
081115;Malla;14;79;22;18;94;28;32;173;50
081120;Manlleu;1425;6028;1269;1282;5804;1712;2707;11832;2981
081136;Manresa;4113;20887;5608;3777;21043;8314;7890;41930;13922
430764;Marçà;23;184;88;34;174;97;57;358;185
430751;Margalef;5;41;20;3;31;29;8;72;49
082423;Marganell;13;83;12;16;75;44;29;158;56
081141;Martorell;1661;7822;1244;1545;7315;1727;3206;15137;2971
081154;Martorelles;357;1793;300;343;1717;385;700;3510;685
430770;Mas de Barberans;35;222;103;40;206;93;75;428;196
171002;Masarac;11;69;39;16;65;45;27;134;84
430786;Masdenverge;68;307;113;73;282;113;141;589;226
081167;Masies de Roda, les;46;220;61;53;206;69;99;426;130
081173;Masies de Voltregà, les;187;941;181;187;956;251;374;1897;432
430799;Masllorenç;21;132;53;20;124;59;41;256;112
081189;Masnou, el;1650;7446;1111;1579;7532;1758;3229;14978;2869
430803;Masó, la;11;95;28;14;91;36;25;186;64
430810;Maspujols;33;149;61;28;130;63;61;279;124
081192;Masquefa;347;1709;275;334;1560;357;681;3269;632
430825;Masroig, el;19;142;85;20;145;95;39;287;180
251312;Massalcoreig;36;181;88;34;189;110;70;370;198
171019;Massanes;28;209;51;32;158;64;60;367;115
251327;Massoteres;10;55;30;10;47;31;20;102;61
081206;Matadepera;711;2433;330;620;2377;453;1331;4810;783
081213;Mataró;8063;36931;6330;7554;36470;9311;15617;73401;15641
081228;Mediona;77;504;164;88;439;174;165;943;338
251348;Menàrguens;38;266;108;41;222;131;79;488;239
170998;Meranges;0;38;11;0;20;14;0;58;25
171058;Mieres;25;101;37;22;98;53;47;199;90
430831;Milà, el;7;57;15;6;62;15;13;119;30
251351;Miralcamp;87;391;120;88;415;149;175;806;269
430846;Miravet;51;269;95;40;215;118;91;484;213
081385;Moià;317;1332;312;273;1309;445;590;2641;757
430859;Molar, el;15;93;44;12;70;55;27;163;99
081234;Molins de Rei;1382;7024;1258;1352;6910;1797;2734;13934;3055
251370;Mollerussa;764;3323;662;687;3279;866;1451;6602;1528
171061;Mollet de Peralada;6;69;29;7;42;36;13;111;65
081249;Mollet del Vallès;3736;17209;2134;3548;16752;2825;7284;33961;4959
171077;Molló;14;113;47;14;99;52;28;212;99
251364;Molsosa, la;10;41;17;6;44;15;16;85;32
081287;Monistrol de Calders;38;201;57;38;192;71;76;393;128
081271;Monistrol de Montserrat;154;864;243;126;807;296;280;1671;539
