Población a 1 de enero. Por sexo y edad en grandes grupos
Municipios. 2021
Fuente: Idescat, a partir del Padrón continuo del INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1181&by=mun&lang=es
Código;Literal;Hombres. De 0 a 14 años;Hombres. De 15 a 64 años;Hombres. 65 años o más;Mujeres. De 0 a 14 años;Mujeres. De 15 a 64 años;Mujeres. 65 años o más;Total. De 0 a 14 años;Total. De 15 a 64 años;Total. 65 años o más
250735;Cervià de les Garrigues;33;226;95;33;181;97;66;407;192
170502;Cervià de Ter;95;313;90;74;313;88;169;626;178
170519;Cistella;15;92;30;19;92;34;34;184;64
250740;Ciutadilla;10;66;28;9;56;33;19;122;61
250753;Clariana de Cardener;15;52;16;7;54;14;22;106;30
250766;Cogul, el;5;48;28;2;34;26;7;82;54
170545;Colera;14;144;71;23;136;74;37;280;145
250772;Coll de Nargó;29;170;81;29;163;76;58;333;157
080692;Collbató;424;1685;305;356;1544;341;780;3229;646
430458;Colldejou;13;61;19;8;43;23;21;104;42
080706;Collsuspina;38;117;38;42;115;37;80;232;75
170558;Colomers;9;59;24;10;59;27;19;118;51
251636;Coma i la Pedra, la;15;117;30;10;76;29;25;193;59
251615;Conca de Dalt;23;123;69;28;115;63;51;238;132
430461;Conesa;5;33;14;3;32;19;8;65;33
430477;Constantí;654;2338;478;599;2126;529;1253;4464;1007
080713;Copons;27;97;34;31;92;41;58;189;75
430483;Corbera d'Ebre;58;327;125;44;280;147;102;607;272
080728;Corbera de Llobregat;1233;5334;965;1144;5129;1212;2377;10463;2177
250788;Corbins;116;599;124;103;393;164;219;992;288
170577;Corçà;117;393;145;83;386;151;200;779;296
080734;Cornellà de Llobregat;6432;29455;7447;6196;29338;10432;12628;58793;17879
170561;Cornellà del Terri;202;790;235;187;769;239;389;1559;474
430496;Cornudella de Montsant;47;364;98;48;288;120;95;652;218
430509;Creixell;278;1262;430;284;1169;489;562;2431;919
170583;Crespià;17;97;24;18;81;33;35;178;57
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;95;444;125;87;440;136;182;884;261
080749;Cubelles;1327;5419;1327;1202;5273;1503;2529;10692;2830
250791;Cubells;15;118;49;19;103;53;34;221;102
430516;Cunit;1046;4480;1430;1018;4429;1678;2064;8909;3108
170600;Darnius;24;181;69;31;158;77;55;339;146
170617;Das;20;89;20;28;70;21;48;159;41
439018;Deltebre;798;3832;1171;763;3555;1420;1561;7387;2591
080752;Dosrius;482;1994;391;453;1945;420;935;3939;811
430537;Duesaigües;15;91;25;11;66;26;26;157;51
170622;Escala, l';706;3463;1155;668;3261;1244;1374;6724;2399
080765;Esparreguera;1758;7826;1714;1629;7342;2089;3387;15168;3803
170638;Espinelves;14;86;20;18;75;26;32;161;46
250812;Espluga Calba, l';15;94;56;21;82;60;36;176;116
430542;Espluga de Francolí, l';229;1244;348;250;1161;485;479;2405;833
080771;Esplugues de Llobregat;3300;14316;4658;3101;15145;6257;6401;29461;10915
170643;Espolla;27;116;61;12;129;67;39;245;128
170656;Esponellà;41;143;56;41;133;55;82;276;111
250827;Espot;17;139;40;18;118;34;35;257;74
080787;Espunyola, l';20;80;29;12;84;33;32;164;62
082541;Esquirol, l';140;727;242;135;679;275;275;1406;517
250886;Estamariu;8;39;26;9;34;13;17;73;39
080790;Estany, l';34;129;52;19;111;63;53;240;115
250851;Estaràs;9;49;29;16;50;19;25;99;48
250864;Esterri d'Àneu;56;298;52;56;297;73;112;595;125
250870;Esterri de Cardós;5;22;5;7;19;6;12;41;11
430555;Falset;220;880;268;190;826;340;410;1706;608
170059;Far d'Empordà, el;53;216;49;51;187;63;104;403;112
250899;Farrera;5;44;18;6;33;10;11;77;28
430568;Fatarella, la;35;264;148;42;243;185;77;507;333
430574;Febró, la;0;16;9;0;13;3;0;29;12
081347;Figaró-Montmany;69;384;97;77;375;125;146;759;222
080804;Fígols;2;19;6;1;12;6;3;31;12
259084;Fígols i Alinyà;10;94;42;13;66;35;23;160;77
430580;Figuera, la;3;41;22;3;25;23;6;66;45
170669;Figueres;4207;15867;3146;3962;15539;4322;8169;31406;7468
430593;Figuerola del Camp;23;111;33;19;111;39;42;222;72
170675;Flaçà;94;375;87;99;359;133;193;734;220
430607;Flix;193;1102;445;170;993;548;363;2095;993
250925;Floresta, la;3;57;19;5;40;21;8;97;40
080826;Fogars de la Selva;90;559;144;93;495;159;183;1054;303
080811;Fogars de Montclús;46;166;39;34;145;37;80;311;76
170681;Foixà;11;94;44;15;83;52;26;177;96
080832;Folgueroles;210;773;157;182;733;214;392;1506;371
250931;Fondarella;50;267;73;65;245;81;115;512;154
080847;Fonollosa;101;506;159;102;474;153;203;980;312
170694;Fontanals de Cerdanya;31;168;59;38;156;54;69;324;113
170708;Fontanilles;11;56;21;7;43;19;18;99;40
170715;Fontcoberta;133;461;133;123;481;137;256;942;270
080850;Font-rubí;102;492;158;99;436;153;201;928;311
250946;Foradada;13;80;30;11;37;24;24;117;54
179026;Forallac;123;541;178;117;549;200;240;1090;378
430614;Forès;2;15;10;0;12;9;2;27;19
170736;Fornells de la Selva;273;885;181;239;925;197;512;1810;378
170741;Fortià;54;266;76;56;256;85;110;522;161
080863;Franqueses del Vallès, les;1897;7097;1313;1776;6728;1540;3673;13825;2853
430629;Freginals;16;155;39;11;107;63;27;262;102
250962;Fuliola, la;102;413;120;102;348;162;204;761;282
250978;Fulleda;1;27;22;2;30;19;3;57;41
080902;Gaià;19;67;16;16;56;15;35;123;31
430635;Galera, la;43;240;92;41;191;116;84;431;208
080879;Gallifa;9;70;18;7;58;21;16;128;39
430640;Gandesa;246;1014;327;212;920;379;458;1934;706
430653;Garcia;37;163;61;36;157;81;73;320;142
430666;Garidells, els;9;70;19;12;69;19;21;139;38
080885;Garriga, la;1396;5467;1210;1286;5724;1650;2682;11191;2860
170754;Garrigàs;36;169;38;31;151;39;67;320;77
170767;Garrigoles;14;59;19;15;46;17;29;105;36
170773;Garriguella;71;288;99;73;276;102;144;564;201
080898;Gavà;3790;15504;3669;3500;15693;4775;7290;31197;8444
250984;Gavet de la Conca;12;85;36;9;67;53;21;152;89
080919;Gelida;680;2654;529;631;2540;689;1311;5194;1218
170789;Ger;42;167;54;44;148;47;86;315;101
259123;Gimenells i el Pla de la Font;75;404;118;70;310;141;145;714;259
430672;Ginestar;44;258;118;26;217;124;70;475;242
170792;Girona;8272;33901;6877;7730;35412;9740;16002;69313;16617
080924;Gironella;392;1492;550;345;1422;715;737;2914;1265
080930;Gisclareny;2;11;5;0;7;2;2;18;7
430688;Godall;28;182;94;40;169;101;68;351;195
250997;Golmés;135;633;163;160;580;184;295;1213;347
170806;Gombrèn;18;59;19;11;63;26;29;122;45
251001;Gósol;15;84;34;11;59;29;26;143;63
080945;Granada, la;190;758;158;176;740;185;366;1498;343
251018;Granadella, la;45;241;99;32;181;107;77;422;206
080958;Granera;4;40;11;1;23;6;5;63;17
251023;Granja d'Escarp, la;48;375;100;59;224;125;107;599;225
080961;Granollers;4687;21353;4863;4366;20630;6576;9053;41983;11439
251039;Granyanella;5;48;29;4;42;17;9;90;46
251057;Granyena de les Garrigues;11;60;22;7;33;21;18;93;43
251044;Granyena de Segarra;9;52;25;14;34;25;23;86;50
430691;Gratallops;8;97;26;7;62;37;15;159;63
080977;Gualba;157;548;100;151;501;128;308;1049;228
170813;Gualta;32;165;45;24;116;39;56;281;84
080996;Guardiola de Berguedà;45;325;109;53;279;118;98;604;227
430705;Guiamets, els;7;92;35;10;82;50;17;174;85
170828;Guils de Cerdanya;44;211;59;45;171;58;89;382;117
251095;Guimerà;8;85;48;15;55;52;23;140;100
259031;Guingueta d'Àneu, la;16;111;36;12;87;38;28;198;74
251109;Guissona;711;2896;310;653;2324;397;1364;5220;707
251116;Guixers;8;47;21;4;28;18;12;75;39
081000;Gurb;233;930;223;196;871;252;429;1801;475
430712;Horta de Sant Joan;67;361;161;51;316;182;118;677;343
081017;Hospitalet de Llobregat, l';18777;87127;22087;17715;87990;30961;36492;175117;53048
081629;Hostalets de Pierola, els;254;1106;187;256;1031;230;510;2137;417
170834;Hostalric;360;1464;346;357;1376;429;717;2840;775
081022;Igualada;3339;13364;3421;3127;12931;4693;6466;26295;8114
251155;Isona i Conca Dellà;59;347;172;55;258;169;114;605;341
170849;Isòvol;26;113;34;26;90;25;52;203;59
251137;Ivars d'Urgell;97;523;198;107;388;240;204;911;438
251121;Ivars de Noguera;17;118;40;18;95;47;35;213;87
251142;Ivorra;1;46;14;2;24;23;3;70;37
170852;Jafre;27;133;44;19;105;54;46;238;98
170865;Jonquera, la;306;1140;230;274;1111;279;580;2251;509
081038;Jorba;67;306;49;58;278;67;125;584;116
259101;Josa i Tuixén;1;39;18;3;25;14;4;64;32
170871;Juià;24;116;29;31;96;31;55;212;60
251180;Juncosa;11;142;53;24;103;64;35;245;117
251193;Juneda;276;1287;353;247;996;410;523;2283;763
251214;Les;55;366;54;72;342;77;127;708;131
251229;Linyola;202;908;270;201;830;313;403;1738;583
081043;Llacuna, la;54;329;108;57;243;126;111;572;234
170887;Lladó;79;267;71;84;276;68;163;543;139
251235;Lladorre;12;79;33;11;77;32;23;156;65
251240;Lladurs;10;58;30;11;55;23;21;113;53
081056;Llagosta, la;1016;4394;1105;1008;4260;1476;2024;8654;2581
170890;Llagostera;772;3013;671;738;2832;825;1510;5845;1496
170904;Llambilles;59;247;65;54;237;68;113;484;133
170911;Llanars;33;158;83;31;162;68;64;320;151
170926;Llançà;305;1573;503;283;1544;634;588;3117;1137
251253;Llardecans;26;131;72;14;106;80;40;237;152
251266;Llavorsí;21;117;38;19;110;40;40;227;78
251207;Lleida;10876;47841;10673;10274;45484;14932;21150;93325;25605
170932;Llers;82;420;124;85;395;146;167;815;270
251272;Lles de Cerdanya;25;98;41;16;78;30;41;176;71
081075;Lliçà d'Amunt;1245;5473;1274;1149;5208;1324;2394;10681;2598
081081;Lliçà de Vall;495;2235;631;440;2128;651;935;4363;1282
251288;Llimiana;8;50;32;4;41;20;12;91;52
081069;Llinars del Vallès;760;3463;816;675;3388;1014;1435;6851;1830
170947;Llívia;87;569;134;97;479;138;184;1048;272
430727;Lloar, el;6;38;13;8;32;14;14;70;27
251291;Llobera;14;64;30;7;48;24;21;112;54
430733;Llorac;3;30;16;5;29;9;8;59;25
430748;Llorenç del Penedès;181;765;223;169;754;289;350;1519;512
170950;Lloret de Mar;2965;13874;2713;2824;12760;3266;5789;26634;5979
170963;Llosses, les;16;85;21;13;60;14;29;145;35
081094;Lluçà;21;88;25;28;84;25;49;172;50
171024;Maçanet de Cabrenys;33;243;91;34;207;121;67;450;212
171030;Maçanet de la Selva;535;2621;640;555;2298;700;1090;4919;1340
170979;Madremanya;25;85;30;27;99;30;52;184;60
170985;Maià de Montcal;29;178;48;33;135;46;62;313;94
251333;Maials;39;341;130;49;232;135;88;573;265
251305;Maldà;16;72;32;8;63;46;24;135;78
081108;Malgrat de Mar;1299;6398;1731;1258;5972;2292;2557;12370;4023
081115;Malla;22;91;28;19;81;35;41;172;63
081120;Manlleu;1784;7108;1599;1731;6511;2071;3515;13619;3670
081136;Manresa;6422;25432;6476;5963;24926;8973;12385;50358;15449
430764;Marçà;45;205;70;39;187;66;84;392;136
430751;Margalef;3;37;21;3;26;14;6;63;35
082423;Marganell;16;94;25;9;91;36;25;185;61
081141;Martorell;2389;10221;2013;2286;9124;2634;4675;19345;4647
081154;Martorelles;354;1631;449;338;1519;532;692;3150;981
430770;Mas de Barberans;27;177;82;26;162;98;53;339;180
171002;Masarac;16;109;24;20;87;28;36;196;52
430786;Masdenverge;84;354;134;62;342;133;146;696;267
081167;Masies de Roda, les;50;229;78;54;214;79;104;443;157
081173;Masies de Voltregà, les;217;1072;276;211;1062;340;428;2134;616
430799;Masllorenç;33;194;49;25;152;55;58;346;104
081189;Masnou, el;1746;7786;1973;1637;7899;2807;3383;15685;4780
430803;Masó, la;22;85;41;16;79;40;38;164;81
430810;Maspujols;78;286;56;61;280;65;139;566;121
081192;Masquefa;797;3469;638;765;3217;737;1562;6686;1375
430825;Masroig, el;22;186;70;28;128;65;50;314;135
251312;Massalcoreig;22;262;60;33;145;77;55;407;137
171019;Massanes;82;259;86;76;221;79;158;480;165
251327;Massoteres;19;87;18;13;71;15;32;158;33
081206;Matadepera;856;3188;800;814;3148;866;1670;6336;1666
081213;Mataró;10443;43820;9823;9812;41949;13273;20255;85769;23096
081228;Mediona;204;797;227;188;751;252;392;1548;479
251348;Menàrguens;33;299;96;38;214;109;71;513;205
170998;Meranges;6;36;11;6;27;11;12;63;22
171058;Mieres;24;119;35;23;104;44;47;223;79
430831;Milà, el;11;61;19;18;58;24;29;119;43
251351;Miralcamp;112;452;149;104;402;147;216;854;296
430846;Miravet;54;215;95;33;185;103;87;400;198
081385;Moià;468;2347;514;475;2038;632;943;4385;1146
430859;Molar, el;11;104;42;13;76;52;24;180;94
081234;Molins de Rei;2210;8550;1958;2028;8746;2612;4238;17296;4570
